name,category,review.point,price,has_smoke,has_peat,has_sherry,has_vanilla,has_fruit,has_sweet,has_orange,has_fruits,has_toffee,has_spices,has_palate,has_spicy,has_pepper,has_apple,has_ginger,has_citrus,has_wood,has_caramel,has_smoky,has_fruity,has_spice,has_oak,has_honey,has_chocolate
"Collectivum XXVIII (Diageo Special Releases 2017), 57.3%",Blended Malt Scotch Whisky,94,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Compass Box Phenomenology, 46%",Blended Scotch Whisky,94,180.0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
"Bowmore 50 year old 1966 vintage, 41.5%",Single Malt Scotch,94,30000.0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"Ardbeg Uigeadail, 54.2%",Single Malt Scotch,94,80.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Samaroli Over an Islay Rainbow 2017 Edition, 45%",Blended Malt Scotch Whisky,94,471.0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"John Walker & Sons King George V, 43%",Blended Scotch Whisky,94,600.0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
"Johnnie Walker Blue Label Ghost and Rare Port Ellen Edition, 43.8%",Blended Scotch Whisky,94,350.0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
"Compass Box Flaming Heart 2018 Edition, 48.9%",Blended Malt Scotch Whisky,94,150.0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"Balvenie 1971 vintage, 49.9%",Single Malt Scotch,94,27747.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"Glenmorangie Signet, 46%",Single Malt Scotch,94,220.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Lagavulin 12 year old (Diageo Special Releases 2017), 56.5%",Single Malt Scotch,94,130.0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
"Glenmorangie Astar 2017 Release, 52.5%",Single Malt Scotch,94,100.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
"Dewar’s 32 year old Double Double, 46%",Blended Scotch Whisky,94,280.0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Loch Lomond 2002 Kerr Cellars Red Wine Cask-Finished, 48.1%",Single Malt Scotch,94,200.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dewar’s 21 year old Double Double, 46%",Blended Scotch Whisky,94,93.33,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
"Bowmore 18 year old, 43%",Single Malt Scotch,94,130.0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"Laphroaig 10 year old Cask Strength (Batch 011), 58.6%",Single Malt Scotch,94,70.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"Laphroaig PX, I Love You 2005 Vintage Cask (No. 3), 54.4%",Single Malt Scotch,94,300.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1
"Single Malts of Scotland 21 year old Ardmore 1998 Single Cask (Cask No. 750753), 50.2%",Single Malt Scotch,94,240.0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"Single Malts of Scotland 23 year old Ben Nevis 1996 Single Cask (Cask No. 1479), 52.7%",Single Malt Scotch,94,260.0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1
"Single Malts of Scotland 21 year old Glenburgie 1998 Single Cask (Cask No. 900896), 55.2%",Single Malt Scotch,94,200.0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
"Kilchoman 14 year old Impex Cask Evolution (Cask No. 18/2006), 53%",Single Malt Scotch,94,220.0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
"Cragganmore Prima & Ultima 48 year old 1971 (Cask No. 2301), 43.7%",Single Malt Scotch,94,25899.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
"Port Ellen Prima & Ultima 40 year old 1979 (Cask No. 6422), 51.2%",Single Malt Scotch,94,25899.0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0
"Benriach The Smoky Twelve, 46%",Single Malt Scotch,94,65.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Johnnie Walker Blue Label Legendary Eight, 43.8%",Blended Scotch Whisky,94,350.0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Single Malts of Scotland 14 year old An Orkney Distillery Single Cask (Distilled in 2006; Cask No. 45), 60.4%",Single Malt Scotch,94,145.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Single Malts of Scotland 23 year old Imperial Single Cask (Distilled in 1997; Cask No. 2798), 45.4%",Single Malt Scotch,94,335.0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1
"Benriach The Smoky Twelve, 46%",Single Malt Scotch,94,65.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
"Ardbeg 5 year old Wee Beastie, 47.4%",Single Malt Scotch,94,47.0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1
"Black Bottle, 10 year old, 43%",Blended Scotch Whisky,93,34.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"The Balvenie 1974 vintage (Cask #17893), 52.8%",Single Malt Scotch,93,600.0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
The Balvenie 30 year old 1973 Vintage (Cask #9219),Single Malt Scotch,93,400.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Balvenie 25 year old, 46.9%",Single Malt Scotch,93,250.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
"Bowmore 16 year old 1989 vintage, 51.8%",Single Malt Scotch,93,90.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bruichladdich Legacy III 35 year old 1968 vintage, 40.7%",Single Malt Scotch,93,430.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Murray McDavid 'Mission' (distilled at Clynelish) 1986, 46%",Single Malt Scotch,93,150.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cragganmore, 29 year old, 52.9%",Single Malt Scotch,93,300.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Dalmore 1973 Vintage Gonzalez Byass Sherry Cask Finish, 42%",Single Malt Scotch,93,250.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Glenfiddich 1973 Vintage (Cask #9874), 46.5%",Single Malt Scotch,93,600.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Glenlivet Cellar Collection 1964 vintage, 44.7%",Single Malt Scotch,93,2000.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"Glenlivet Archive 21 year old, 43%",Single Malt Scotch,93,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Highland Park 1983 vintage 23 year old (Cask #691), 59.8%",Single Malt Scotch,93,150.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Longrow 1974, 25 year old, 46%",Single Malt Scotch,93,525.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"The Macallan 50 year old, 43%",Single Malt Scotch,93,3500.0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"Gordon & MacPhail (distilled at Mortlach), 11 year old,k 1993 vintage, 60.7%",Single Malt Scotch,93,80.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Springbank 35 year old, 46%",Single Malt Scotch,93,580.0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Murray McDavid (distilled at Springbank) 1965 34 year old, 46%",Single Malt Scotch,93,200.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan Taylor (distilled at Strathisla), 35 year old, Cask #7009, 45.1%",Single Malt Scotch,93,240.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"Talisker 30 year old, 51.9%",Single Malt Scotch,93,300.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Talisker 18 year old, 45.8%",Single Malt Scotch,93,65.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"Highland Park 21 year old, 47.5%",Single Malt Scotch,93,100.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
"The Glenrothes, 1975 vintage, 43%",Single Malt Scotch,93,500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Highland Park 40 year old, 48.3%",Single Malt Scotch,93,1900.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Longrow 18 year old, 46%",Single Malt Scotch,93,280.0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Glenlivet XXV 25 year old, 43%",Single Malt Scotch,93,350.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"Glenmorangie Astar, 57.1%",Single Malt Scotch,93,85.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"The Dalmore 40 year old, 40%",Single Malt Scotch,93,3000.0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
"Cutty Sark, 25 year old, 45.7%",Blended Scotch Whisky,93,170.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Port Ellen, 30 year old (2009 Release), 57.7%, ",Single Malt Scotch,93,370.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"Highland Park 1968 vintage, 45.6%",Single Malt Scotch,93,3657.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"GlenDronach 15 year old, 46%",Single Malt Scotch,93,95.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Royal Salute Stone of Destiny, 38 year old, 40%",Blended Scotch Whisky,93,600.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"The Glenrothes “John Ramsay,” 46.7%",Single Malt Scotch,93,1000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Port Ellen 31 year old, 54.6%",Single Malt Scotch,93,455.0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"Glenmorangie Pride 1981, 56.7%",Single Malt Scotch,93,2850.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"Convalmore 1977 28 year old, 57.9%",Single Malt Scotch,93,248.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"The Dalmore 1978, 46%",Single Malt Scotch,93,750.0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"Lagavulin 1993 Islay Jazz Festival bottling (2011 Release), 55.4%",Single Malt Scotch,93,127.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
